SITE_ID,URL,SITE_NAME,DELETE_FLG,LAST_PUB_DATE_TIME
1,http://rss.rssad.jp/rss/gihyo/feed/atom,gihyo.jp：総合,0,2014/03/28 15:52:01
2,http://feeds.lifehacker.jp/rss/lifehacker/index.xml?rss,ライフハッカー［日本版］,0,2014/03/28 14:26:45
3,http://rss.rssad.jp/rss/mycom/index,マイナビニュース,0,2014/03/28 17:40:35
4,http://rocketnews24.com/feed/,ロケットニュース24,0,2014/03/28 17:41:37
5,http://feed.rssad.jp/rss/gigazine/rss_atom,GIGAZINE,0,2014/03/28 15:44:54
6,http://getnews.jp/feed/ext/orig,ガジェット通信,0,2014/03/28 18:00:16
7,http://kachibito.net/feed,かちびと.net,0,2014/03/28 10:14:43
8,http://feed.rssad.jp/rss/engadget/rss,Engadget Japanese,0,2014/03/28 18:00:50
9,http://2ch-c.net/?xml_all,しぃアンテナ(*ﾟーﾟ),0,2014/03/28 18:00:50
10,http://baikuto.doorblog.jp/index.rdf,バイクと！,0,2014/03/28 18:00:50
11,http://feeds.feedburner.com/hatena/b/hotentry,はてなブックマーク - 人気エントリー,0,2014/03/28 18:00:50
12,http://treewoods.net/kugelblitz/?feed=rss2,Kugelblitz,0,2014/03/25 0:01:45
13,http://momoclonews.com/index.rdf,ももクロニュース,0,2014/03/28 18:00:50
14,http://yoshio3.com/feed/,寺田　佳央 - Yoshio Terada,0,2014/03/24 18:00:32
